@relation csvPartidos

@attribute surface {Hard,Clay,Grass}
@attribute P1_hand {R,L,U}
@attribute P2_hand {R,L,U}
@attribute P1_ht numeric
@attribute P2_ht numeric
@attribute P1_age numeric
@attribute P2_age numeric
@attribute P1_ace numeric
@attribute P2_ace numeric
@attribute P1_df numeric
@attribute P2_df numeric
@attribute P1_svpt numeric
@attribute P2_svpt numeric
@attribute P1_1stIn numeric
@attribute P2_1stIn numeric
@attribute P1_1stWon numeric
@attribute P2_1stWon numeric
@attribute P1_2ndWon numeric
@attribute P2_2ndWon numeric
@attribute P1_SvGms numeric
@attribute P2_SvGms numeric
@attribute P1_bpSaved numeric
@attribute P2_bpSaved numeric
@attribute P1_rank numeric
@attribute P2_rank numeric
@attribute P1_bpFaced numeric
@attribute P2_bpFaced numeric
@attribute WINNER {P1,P2}

@data
Hard,R,R,?,?,21.64,26.47,2,7,3,0,96,95,65,52,46,35,14,18,15,15,9,7,62,96,12,12,P1
Hard,R,L,185,183,28.78,28.46,9,8,0,3,86,96,49,55,45,36,21,25,15,15,1,10,59,63,2,14,P1
Hard,R,R,175,?,35.77,18.24,3,5,6,5,81,96,44,46,29,31,22,22,11,11,3,9,38,313,5,12,P1
Hard,R,R,183,?,29.74,30.23,3,3,1,3,51,42,37,18,29,11,7,4,8,7,5,2,21,?,6,7,P1
Hard,R,U,188,?,28.04,19.96,12,7,1,1,78,78,43,40,34,31,22,20,12,12,4,2,46,397,5,4,P1
Hard,L,R,?,?,24.5,28.16,4,6,3,3,89,110,57,78,43,50,17,18,14,14,1,12,64,88,3,15,P1
Hard,R,R,185,?,30.18,19.41,12,12,3,1,100,82,59,52,50,40,18,14,16,14,2,0,90,80,3,3,P1
Hard,R,R,190,?,30.76,19.05,16,12,1,3,89,80,55,56,41,46,17,12,14,13,3,1,43,137,6,2,P1
Hard,R,R,185,175,28.48,30.03,2,2,3,2,91,80,56,47,38,26,18,20,14,14,0,4,65,135,3,9,P1
Hard,R,L,198,?,29.29,18.74,8,3,0,3,51,44,36,25,25,19,13,6,9,9,0,0,12,50,0,3,P1
Hard,R,R,?,180,21.63,32.02,10,3,2,0,57,61,37,34,28,24,13,11,10,10,1,1,48,33,2,4,P1
Hard,R,R,?,206,21.64,32.7,15,30,1,4,98,117,67,86,53,55,17,17,16,16,0,4,62,16,1,6,P1
Hard,R,R,175,185,35.77,28.78,2,3,1,2,41,53,30,30,24,19,9,6,8,8,1,2,38,59,1,6,P1
Hard,R,R,183,188,29.74,28.04,1,6,2,2,72,62,44,36,31,24,16,11,12,11,4,1,21,46,6,5,P1
Hard,L,R,?,198,24.5,30.26,7,24,5,5,114,109,80,73,68,62,18,20,17,17,3,2,64,13,3,3,P1
Hard,R,R,190,185,30.76,30.18,9,6,1,2,73,63,47,37,37,27,13,15,11,10,1,0,43,90,2,2,P1
Hard,R,R,185,185,28.48,25.29,9,8,2,2,43,61,26,34,23,22,9,9,9,9,0,4,65,8,1,8,P1
Hard,R,R,198,?,29.29,21.63,11,5,2,1,74,63,54,36,42,29,11,14,11,10,0,1,12,48,0,2,P1
Hard,R,R,175,?,35.77,21.64,4,2,1,3,67,51,46,39,27,18,12,5,9,8,5,3,38,62,7,8,P1
Hard,R,L,183,?,29.74,24.5,2,8,1,4,57,72,44,48,33,30,10,9,10,10,1,1,21,64,2,4,P1
Hard,R,R,190,185,30.76,28.48,4,7,3,5,80,65,38,34,24,25,23,13,10,10,8,2,43,65,10,6,P1
Hard,R,R,198,175,29.29,35.77,1,1,2,4,69,70,32,44,24,32,22,8,10,10,6,3,12,38,7,6,P1
Hard,R,R,183,190,29.74,30.76,7,19,1,4,117,143,87,94,69,67,16,23,18,18,2,9,21,43,5,12,P1
Hard,R,R,183,198,29.74,29.29,7,9,4,1,85,79,55,49,42,33,15,17,15,14,2,1,21,12,4,5,P1
Hard,R,U,183,?,28.57,18.43,5,5,0,6,49,65,25,34,22,22,15,11,9,9,0,5,127,621,1,9,P1
Hard,R,R,196,181,28.67,28.48,12,11,5,0,93,87,53,59,46,46,14,14,13,15,7,4,42,51,10,7,P1
